economy,FM.LBL.BMNY.ZG,NY.GDP.DEFL.KD.ZG
IDA,,3.19419804816449
IDB,,2.27888568981025
IDN,6.5404048812978,1.59848849984144
IDX,,3.35874088466439
IMN,,1.80000437802099
IND,10.5102484286107,2.40551716106513
INX,,
IRL,,3.39169585174939
IRN,,30.5348662272656
IRQ,8.43940152240707,-2.67444003580694
ISL,6.59399516121035,4.45677579826327
ISR,7.51590183555777,1.91640078439251
ITA,,1.04700690430435
JAM,9.67137663065787,3.18250309465809
JOR,5.13043334204516,0.844355656854063
JPN,2.07993938355614,0.634803165679926
KAZ,2.44409670955516,7.63328623733945
KEN,6.01749758930089,4.2752342393575
KGZ,12.833498873342,9.81131194747459
KHM,18.1523073296895,2.79255741070172
KIR,,-3.2862469279824
KNA,-15.1175872982392,-0.0292580452551192
KOR,7.89698535417928,-0.839325308149668
KWT,-1.46790284590183,-0.110446099385726
LAC,,3.34313691610601
LAO,,1.19742392109292
LBN,,4.09482315573024
LBR,-7.39979860973075,-0.560426634044902
LBY,-1.85373740169165,4.17567264236536
LCA,-8.34166713472733,2.38561896333619
LCN,,2.62590050743201
LDC,,3.61679601047119
LIC,,3.83882858168624
LIE,,
LKA,8.32354431836196,3.8705276123282
LMC,,3.46709767699252
LMY,,3.0309456354502
LSO,-8.99494282387537,3.57545446932066
LTE,,2.42322694229267
LTU,,2.37586014042606
LUX,,0.916370421543562
LVA,,4.31638188410186
MAC,5.53663493399623,2.40349121281929
MAF,,
MAR,3.77806065975292,0.816805456485284
MCO,,1.20921163106718
MDA,8.1216221813852,5.35171200346649
MDG,6.97820163710416,6.52209064077279
MDV,9.52938511379322,-0.963356907523178
MEA,,1.91640078439251
MEX,4.70005425172458,4.31901023665301
MHL,,-4.15426936619718
MIC,,2.9272184326425
MKD,8.19219834569514,0.86816868476069
MLI,4.36573761212251,1.00124513666175
MLT,,2.50640359192941
MMR,15.5444260829973,5.42293300468495
MNA,,4.17567264236536
MNE,-1.66872473126495,2.02214868727721
MNG,6.97800023574914,9.97221325666415
MNP,,2.33769881156505
MOZ,13.3858923159739,4.67764534705535
MRT,9.94940435177811,5.32804482625433
MUS,8.48462028173342,-0.46584287384826
MWI,10.1935453487984,7.72855642393151
MYS,2.6747203213164,0.0718269093121364
NAC,,1.65046566913468
NAM,10.533627508929,0.926315844160413
NCL,,2.43407708116916
NER,15.057028029221,-0.0243827627404585
NGA,6.4486310513005,10.384779195217
NIC,6.2316081566645,5.39538672821082
NLD,,3.02788370008784
NOR,3.97349820975716,-0.548437002455742
NPL,13.8134335887466,4.69115593292496
NRU,,-4.72850619813472
NZL,4.71178824795162,3.13993057446164
OED,,2.23576897209742
OMN,,-2.66623355343535
OSS,,2.02214868727721
PAK,11.6730296321604,9.03633484170507
PAN,,0.538350741190015
PER,8.31837591438,1.87221626775495
PHL,9.84392163909669,0.697076297419486
PLW,,-2.48400343376434
PNG,4.41741848432161,1.06226142176442
POL,8.26404951360684,3.02644690867653
PRE,,2.33065495555907
PRI,,2.41285225696176
PRK,,
PRT,,1.83436778363703
PRY,9.7968973355873,3.06187945458328
PSE,9.98642921020079,3.84946930147241
PSS,,1.24130303241819
PST,,2.00217897781025
PYF,,0.822355119129753
