Date,AAPL,AMZN,BA,GOOG,IBM,MGM,TSLA,^GSPC
2012-01-01,13.719130516052246,9.722000122070312,60.69837951660156,14.3632173538208,110.43931579589844,12.325861930847168,1.937999963760376,1312.4100341796875
2012-02-01,16.302589416503906,8.98449993133545,61.328426361083984,15.307541847229004,112.80754852294922,13.00590991973877,2.2273330688476562,1365.6800537109375
2012-03-01,18.018993377685547,10.125499725341797,61.21198654174805,15.876761436462402,120.10850524902344,12.864232063293457,2.4826669692993164,1408.469970703125
2012-04-01,17.551044464111328,11.595000267028809,63.21205520629883,14.975764274597168,119.2047348022461,12.675328254699707,2.208667039871216,1397.9100341796875
2012-05-01,17.363208770751953,10.645500183105469,57.29416275024414,14.38178539276123,111.04206085205078,10.229048728942871,1.9666670560836792,1310.3299560546875
2012-06-01,17.55164909362793,11.417499542236328,61.51332092285156,14.362225532531738,113.05646514892578,10.540735244750977,2.0859999656677246,1362.1600341796875
2012-07-01,18.355894088745117,11.664999961853027,61.19047164916992,15.672000885009766,113.28768157958984,8.991739273071289,1.8279999494552612,1379.3199462890625
2012-08-01,19.993242263793945,12.41349983215332,59.1124267578125,16.962467193603516,112.63441467285156,9.312874794006348,1.901332974433899,1406.5799560546875
2012-09-01,20.135229110717773,12.715999603271484,57.967735290527344,18.681020736694336,120.42999267578125,10.153489112854004,1.9520000219345093,1440.6700439453125
2012-10-01,17.96868133544922,11.644499778747559,58.66733932495117,16.843870162963867,112.92963409423828,9.737905502319336,1.8753329515457153,1412.1600341796875
2012-11-01,17.665634155273438,12.602499961853027,61.865570068359375,17.29127311706543,110.3404769897461,9.586780548095703,2.254667043685913,1416.1800537109375
2012-12-01,16.135976791381836,12.543499946594238,63.15088653564453,17.514354705810547,111.6863021850586,10.994102478027344,2.257999897003174,1426.18994140625
2013-01-01,13.81095027923584,13.274999618530273,61.90229797363281,18.71048355102539,118.4032211303711,12.061399459838867,2.500667095184326,1498.1099853515625
2013-02-01,13.3837251663208,13.213500022888184,64.4413833618164,19.8372859954834,117.09716796875,11.796935081481934,2.322000026702881,1514.6800537109375
2013-03-01,13.500151634216309,13.32450008392334,72.40349578857422,19.663721084594727,124.89144897460938,12.420313835144043,2.5260000228881836,1569.18994140625
2013-04-01,13.503812789916992,12.690500259399414,77.09264373779297,20.415916442871094,118.5912857055664,13.336487770080566,3.5993330478668213,1597.5699462890625
2013-05-01,13.71577262878418,13.460000038146973,83.51072692871094,21.570945739746094,121.79991912841797,14.328226089477539,6.517333030700684,1630.739990234375
2013-06-01,12.173337936401367,13.884499549865723,86.83936309814453,21.79749298095703,112.4233169555664,13.95986557006836,7.157332897186279,1606.280029296875
2013-07-01,13.892518997192383,15.060999870300293,89.09426879882812,21.9802188873291,114.73514556884766,15.404966354370117,8.95199966430664,1685.72998046875
2013-08-01,14.95749282836914,14.048999786376953,88.09397888183594,20.968795776367188,107.2230224609375,16.708393096923828,11.266667366027832,1632.969970703125
2013-09-01,14.73270320892334,15.631999969482422,100.05925750732422,21.68706512451172,109.47942352294922,19.30579948425293,12.891332626342773,1681.550048828125
2013-10-01,16.152664184570312,18.201499938964844,111.12964630126953,25.516613006591797,105.9499282836914,17.983478546142578,10.662667274475098,1756.5400390625
2013-11-01,17.18388557434082,19.680999755859375,114.32300567626953,26.234888076782227,106.22776794433594,18.12515640258789,8.485333442687988,1805.81005859375
2013-12-01,17.43807029724121,19.93950080871582,116.65409851074219,27.748184204101562,111.48789978027344,22.214889526367188,10.028667449951172,1848.3599853515625
2014-01-01,15.560050010681152,17.934499740600586,107.05614471435547,29.240192413330078,105.01512908935547,23.008275985717773,12.093999862670898,1782.5899658203125
2014-02-01,16.35700798034668,18.104999542236328,110.18423461914062,30.098848342895508,110.06140899658203,26.02126693725586,16.320667266845703,1859.449951171875
2014-03-01,16.783246994018555,16.818500518798828,107.85765838623047,27.608142852783203,115.0395278930664,24.425045013427734,13.896666526794434,1872.3399658203125
2014-04-01,18.45142936706543,15.206500053405762,110.89165496826172,26.105722427368164,117.41808319091797,23.83000373840332,13.859333038330078,1883.949951171875
2014-05-01,19.793176651000977,15.6274995803833,116.24629974365234,27.752883911132812,110.18070983886719,24.32114601135254,13.851332664489746,1923.5699462890625
2014-06-01,20.45431137084961,16.23900032043457,109.96674346923828,28.5157413482666,108.9647216796875,24.935077667236328,16.003999710083008,1960.22998046875
2014-07-01,21.0419864654541,15.649499893188477,104.13262176513672,28.333328247070312,115.21636199951172,25.350656509399414,14.886667251586914,1930.6700439453125
2014-08-01,22.560707092285156,16.95199966430664,109.59510803222656,28.333328247070312,115.59508514404297,23.112173080444336,17.979999542236328,2003.3699951171875
2014-09-01,22.28582763671875,16.121999740600586,110.76314544677734,28.618844985961914,114.78516387939453,21.515947341918945,16.178667068481445,1972.2900390625
2014-10-01,23.889522552490234,15.27299976348877,108.61537170410156,27.71273422241211,99.40828704833984,21.95986557006836,16.113332748413086,2018.050048828125
2014-11-01,26.30722427368164,16.93199920654297,116.83260345458984,26.85767936706543,98.05990600585938,21.544282913208008,16.301332473754883,2067.56005859375
2014-12-01,24.521848678588867,15.517499923706055,113.68344116210938,26.092838287353516,97.67778778076172,20.193632125854492,14.827333450317383,2058.89990234375
2015-01-01,26.02808952331543,17.726499557495117,127.14392852783203,26.495332717895508,93.33695220947266,18.399065017700195,13.573332786560059,1994.989990234375
2015-02-01,28.53847312927246,19.007999420166016,131.93682861328125,27.679025650024414,98.59099578857422,20.524213790893555,13.555999755859375,2104.5
